order_id,shop_id,ship_to_cust_id,ship_from_shop_id,sales_amt,delivery_fee,saler_id,coupon_id,discount_amt,post_date,post_time,customer_id,self_pick_flg,acct_1,acct_2,acct_3,description_1,description_2,description_3
110043401,352,2192720,352,220.0,,,,,2020-05-10,14:06:16,2192720,0,CNY,,,,,
110043402,323,2136862,323,405.0,,,,,2020-05-10,14:13:19,2136862,0,CNY,,,,,
110043403,479,2180345,479,290.0,,,,,2020-05-10,14:18:14,2180345,0,CNY,,,,,
110043404,188,2207629,188,230.0,,,,,2020-05-10,14:19:46,2207629,0,CNY,,,,,
110043405,352,2220031,352,505.0,,,,,2020-05-10,14:26:28,2220031,0,CNY,,,,,
110043406,155,2162051,155,115.0,,,,,2020-05-10,14:28:35,2162051,0,CNY,,,,,
110043407,323,2207202,323,115.0,,,,,2020-05-10,14:36:05,2207202,0,CNY,,,,,
110043408,323,2189481,323,180.0,,,,,2020-05-10,14:44:35,2189481,0,CNY,,,,,
110043409,626,2137211,626,100.0,,,,,2020-05-10,14:46:33,2137211,0,CNY,,,,,
110043410,188,2225316,188,140.0,,,,,2020-05-10,14:49:31,2225316,0,CNY,,,,,
110043411,479,2185347,479,170.0,,,,,2020-05-10,14:50:01,2185347,0,CNY,,,,,
110043412,352,2190411,352,315.0,,,,,2020-05-10,14:50:29,2190411,0,CNY,,,,,
110043413,352,2200215,352,315.0,,,,,2020-05-10,14:52:27,2200215,0,CNY,,,,,
110043414,352,2208345,352,290.0,,,,,2020-05-10,14:53:50,2208345,0,CNY,,,,,
110043415,626,2152382,626,695.0,,,,,2020-05-10,14:56:14,2152382,0,CNY,,,,,
110043416,352,2222136,352,220.0,,,,,2020-05-10,15:02:53,2222136,0,CNY,,,,,
110043417,352,2180854,352,290.0,,,,,2020-05-10,15:08:04,2180854,0,CNY,,,,,
110043418,352,2180542,352,975.0,,,,,2020-05-10,15:16:03,2180542,0,CNY,,,,,
110043419,352,2150888,352,290.0,,,,,2020-05-10,15:18:08,2150888,0,CNY,,,,,
110043420,155,2157883,155,390.0,,,,,2020-05-10,15:26:58,2157883,0,CNY,,,,,
110043421,323,2175696,323,120.0,,,,,2020-05-10,15:28:03,2175696,0,CNY,,,,,
110043422,188,2208379,188,565.0,,,,,2020-05-10,15:31:44,2208379,0,CNY,,,,,
110043423,479,2198425,479,160.0,,,,,2020-05-10,15:35:53,2198425,0,CNY,,,,,
110043424,155,2178881,155,220.0,,,,,2020-05-10,15:43:49,2178881,0,CNY,,,,,
110043425,352,2171409,352,330.0,,,,,2020-05-10,15:53:11,2171409,0,CNY,,,,,
110043426,352,2160448,352,266.98,,,,,2020-05-10,16:01:17,2160448,0,CNY,,,,,
110043427,626,2188301,626,250.0,,,,,2020-05-10,16:08:37,2188301,0,CNY,,,,,
110043428,479,2134450,479,300.0,,,,,2020-05-10,16:14:59,2134450,0,CNY,,,,,
110043429,188,2168266,188,190.0,,,,,2020-05-10,16:24:47,2168266,0,CNY,,,,,
110043430,626,2144024,626,115.0,,,,,2020-05-10,16:33:29,2144024,0,CNY,,,,,
